"module name","license","repository"
"@babel/runtime@7.28.2","MIT","https://github.com/babel/babel"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.27.15","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@mapbox/node-pre-gyp@1.0.11","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@react-aria/ssr@3.9.10","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-oauth/google@0.12.1","MIT","https://github.com/MomenSherif/react-oauth"
"@remix-run/router@1.14.2","MIT","https://github.com/remix-run/react-router"
"@restart/hooks@0.4.15","MIT","https://github.com/jquense/react-common-hooks"
"@restart/hooks@0.5.1","MIT","https://github.com/jquense/react-common-hooks"
"@restart/ui@1.9.4","MIT","https://github.com/react-restart/ui"
"@swc/helpers@0.5.17","Apache-2.0","https://github.com/swc-project/swc"
"@tootallnate/once@2.0.0","MIT","https://github.com/TooTallNate/once"
"@types/hoist-non-react-statics@3.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.2.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.48","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/use-sync-external-store@0.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abab@2.0.6","BSD-3-Clause","https://github.com/jsdom/abab"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-globals@6.0.0","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-walk@7.2.0","MIT","https://github.com/acornjs/acorn"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"acorn@8.11.3","MIT","https://github.com/acornjs/acorn"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"aproba@2.0.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@2.0.0","ISC","https://github.com/npm/are-we-there-yet"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bootstrap@5.3.2","MIT","https://github.com/twbs/bootstrap"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"browser-process-hrtime@1.0.0","BSD-2-Clause","https://github.com/kumavis/browser-process-hrtime"
"canvas@2.11.2","MIT","https://github.com/Automattic/node-canvas"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chownr@2.0.0","ISC","https://github.com/isaacs/chownr"
"classnames@2.5.1","MIT","https://github.com/JedWatson/classnames"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"cssom@0.3.8","MIT","https://github.com/NV/CSSOM"
"cssom@0.5.0","MIT","https://github.com/NV/CSSOM"
"cssstyle@2.3.0","MIT","https://github.com/jsdom/cssstyle"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"data-urls@3.0.2","MIT","https://github.com/jsdom/data-urls"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"decimal.js@10.4.3","MIT","https://github.com/MikeMcl/decimal.js"
"decompress-response@4.2.1","MIT","https://github.com/sindresorhus/decompress-response"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates"
"dequal@2.0.3","MIT","https://github.com/lukeed/dequal"
"detect-libc@2.0.2","Apache-2.0","https://github.com/lovell/detect-libc"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"domexception@4.0.0","MIT","https://github.com/jsdom/domexception"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escodegen@2.1.0","BSD-2-Clause","https://github.com/estools/escodegen"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"fabric@5.5.2","MIT","https://github.com/fabricjs/fabric.js"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"frontend@0.1.0","UNLICENSED",""
"fs-minipass@2.1.0","ISC","https://github.com/npm/fs-minipass"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"gauge@3.0.2","ISC","https://github.com/iarna/gauge"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"goober@2.1.14","MIT","https://github.com/cristianbote/goober"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-unicode@2.0.1","ISC","https://github.com/iarna/has-unicode"
"hasown@2.0.0","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
"html-encoding-sniffer@3.0.0","MIT","https://github.com/jsdom/html-encoding-sniffer"
"http-proxy-agent@5.0.0","MIT","https://github.com/TooTallNate/node-http-proxy-agent"
"https-proxy-agent@5.0.1","MIT","https://github.com/TooTallNate/node-https-proxy-agent"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"invariant@2.2.4","MIT","https://github.com/zertosh/invariant"
"is-core-module@2.13.1","MIT","https://github.com/inspect-js/is-core-module"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-potential-custom-element-name@1.0.1","MIT","https://github.com/mathiasbynens/is-potential-custom-element-name"
"js-cookie@3.0.5","MIT","https://github.com/js-cookie/js-cookie"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsdom@19.0.0","MIT","https://github.com/jsdom/jsdom"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"make-dir@3.1.0","MIT","https://github.com/sindresorhus/make-dir"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mimic-response@2.1.0","MIT","https://github.com/sindresorhus/mimic-response"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@3.3.6","ISC","https://github.com/isaacs/minipass"
"minipass@5.0.0","ISC","https://github.com/isaacs/minipass"
"minizlib@2.1.2","MIT","https://github.com/isaacs/minizlib"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"mkdirp@1.0.4","MIT","https://github.com/isaacs/node-mkdirp"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"nan@2.18.0","MIT","https://github.com/nodejs/nan"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"nopt@4.0.3","ISC","https://github.com/npm/nopt"
"nopt@5.0.0","ISC","https://github.com/npm/nopt"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"npm-normalize-package-bin@1.0.1","ISC","https://github.com/npm/npm-normalize-package-bin"
"npmlog@5.0.1","ISC","https://github.com/npm/npmlog"
"nwsapi@2.2.7","MIT","https://github.com/dperini/nwsapi"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"osenv@0.1.5","ISC","https://github.com/npm/osenv"
"parse5@6.0.1","MIT","https://github.com/inikulin/parse5"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"prop-types-extra@1.1.1","MIT","https://github.com/react-bootstrap/prop-types-extra"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"psl@1.9.0","MIT","https://github.com/lupomontero/psl"
"punycode@2.3.1","MIT","https://github.com/mathiasbynens/punycode.js"
"qr.js@0.0.0","MIT","https://github.com/shtylman/qr.js"
"querystringify@2.2.0","MIT","https://github.com/unshiftio/querystringify"
"react-bootstrap@2.10.0","MIT","https://github.com/react-bootstrap/react-bootstrap"
"react-datepicker@8.4.0","MIT","https://github.com/Hacker0x01/react-datepicker"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-hot-toast@2.4.1","MIT","https://github.com/timolins/react-hot-toast"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@18.2.0","MIT","https://github.com/facebook/react"
"react-lifecycles-compat@3.0.4","MIT","https://github.com/reactjs/react-lifecycles-compat"
"react-qr-code@2.0.12","MIT","https://github.com/rosskhanas/react-qr-code"
"react-redux@8.1.3","MIT","https://github.com/reduxjs/react-redux"
"react-router-dom@6.21.3","MIT","https://github.com/remix-run/react-router"
"react-router@6.21.3","MIT","https://github.com/remix-run/react-router"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@18.3.1","MIT","https://github.com/facebook/react"
"read-installed@4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.1.2","ISC","https://github.com/npm/read-package-json"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"readdir-scoped-modules@1.1.0","ISC","https://github.com/npm/readdir-scoped-modules"
"redux@4.2.1","MIT","https://github.com/reduxjs/redux"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"resolve@1.22.8","MIT","https://github.com/browserify/resolve"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"saxes@5.0.1","ISC","https://github.com/lddubeau/saxes"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"semver@5.7.2","ISC","https://github.com/npm/node-semver"
"semver@6.3.1","ISC","https://github.com/npm/node-semver"
"semver@7.5.4","ISC","https://github.com/npm/node-semver"
"set-blocking@2.0.0","ISC","https://github.com/yargs/set-blocking"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"simple-concat@1.0.1","MIT","https://github.com/feross/simple-concat"
"simple-get@3.1.1","MIT","https://github.com/feross/simple-get"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@3.2.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.3.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.1","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.16","CC0-1.0","https://github.com/jslicense/spdx-license-ids"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"symbol-tree@3.2.4","MIT","https://github.com/jsdom/js-symbol-tree"
"tabbable@6.2.0","MIT","https://github.com/focus-trap/tabbable"
"tar@6.2.0","ISC","https://github.com/isaacs/node-tar"
"tough-cookie@4.1.3","BSD-3-Clause","https://github.com/salesforce/tough-cookie"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"tr46@3.0.0","MIT","https://github.com/jsdom/tr46"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"typescript@4.9.5","Apache-2.0","https://github.com/Microsoft/TypeScript"
"uncontrollable@7.2.1","MIT","https://github.com/jquense/uncontrollable"
"uncontrollable@8.0.4","MIT","https://github.com/jquense/uncontrollable"
"universalify@0.2.0","MIT","https://github.com/RyanZim/universalify"
"url-parse@1.5.10","MIT","https://github.com/unshiftio/url-parse"
"use-sync-external-store@1.5.0","MIT","https://github.com/facebook/react"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"util-extend@1.0.3","MIT","https://github.com/isaacs/util-extend"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"w3c-hr-time@1.0.2","MIT","https://github.com/jsdom/w3c-hr-time"
"w3c-xmlserializer@3.0.0","MIT","https://github.com/jsdom/w3c-xmlserializer"
"warning@4.0.3","MIT","https://github.com/BerkeleyTrue/warning"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"webidl-conversions@7.0.0","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"webstomp-client@1.2.6","Apache-2.0","https://github.com/JSteunou/webstomp-client"
"whatwg-encoding@2.0.0","MIT","https://github.com/jsdom/whatwg-encoding"
"whatwg-mimetype@3.0.0","MIT","https://github.com/jsdom/whatwg-mimetype"
"whatwg-url@10.0.0","MIT","https://github.com/jsdom/whatwg-url"
"whatwg-url@11.0.0","MIT","https://github.com/jsdom/whatwg-url"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
"wide-align@1.1.5","ISC","https://github.com/iarna/wide-align"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"ws@8.16.0","MIT","https://github.com/websockets/ws"
"xml-name-validator@4.0.0","Apache-2.0","https://github.com/jsdom/xml-name-validator"
"xmlchars@2.2.0","MIT","https://github.com/lddubeau/xmlchars"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist"